name,singer,lyric
Mùa Đông Năm Ấy,Nhạc Nguyễn,Mùa đông năm ấy. Sao sáng soi cuối trời. Mùa đông năm ấy. Con Chúa sinh xuống đời. Nhịp ca véo von. Bao thiên thần vang hát. Tôn thờ Ngôi Hai. Giáng sinh trần ai.. Con hợp với thiên thần. Hoà vang câu hát. Con hợp với thiên thần. Hoà vang câu hát. Mừng sinh nhật. Chúa vinh quang. Mừng sinh nhật. Đấng yêu thương. Sinh nhật từ ái. Sáng như công bình.. Mùa đông năm ấy. Vui tiếng ca nhịp nhàng. Mùa đông năm ấy. Theo ánh sao huy hoàng. Tìm hang Bethlehem. Những mục đồng mau bước. Tôn thờ Ngôi Hai. Giáng sinh trần ai. Con hợp với Mục Đồng. Cùng thờ lạy Chúa. Con hợp với Mục Đồng. Cùng thờ lạy Chúa. Mừng sinh nhật. Đấng cứu tinh. Mừng sinh nhật. Đấng uy linh. Sinh nhật ngày Chúa. Xuống ơn thái bình. Mùa đông năm ấy. Quên lắng lo ưu phiền. Mẹ Maria âu yếm. Cung kính nhìn. Nhìn con mới sinh. Dâng tấm lòng kính mến. Tôn thờ Ngôi Hai. Giáng sinh trần ai. Con hợp với Mary. Quỳ đây lạy Chúa. Con hợp với Giuse. Quỳ đây ngắm Chúa. Mừng sinh nhật. Chúa Ngôi Hai. Mừng sinh nhật. Đấng yên say. Sinh nhật một lễ. Đón đưa muôn đời.. Mùa đông năm ấy. Con Chúa xa cõi trời. Mùa đông năm ấy. Con Chúa sinh xuống đời. Ngày xưa có hoa. Những sinh nhật con Chúa. Tâm hồn con ghi. Dám đâu hoài nghi. Con quỳ gối ôn lại. Ngày qua đáng nhớ. Con quỳ gối cảm tạ. Tình yêu quý giá. Mừng sinh nhật Chúa chí nhân. Mừng sinh nhật. Chúa muôn năm. Sinh nhật cùng với. Tháng năm vững bền. Mừng sinh nhật. Chúa Ngôi Hai. Mừng sinh nhật. Đấng Thiên sai. Sinh nhật một lễ. Đáng ghi muôn đời
Mùa Đông,ERIK,"a sĩ: ERIK ST.319. Mùa Đông đến nơi đây tìm anh. Giữa đêm lạnh rét căm. Mùa Đông khẽ ôm anh thật lâu. Biết anh chẳng có. Ai bên cạnh anh. Và dấu phố khi xưa. Ta gặp nhau. Giờ đây là màn đêm. Tối tăm quạnh hiu. Hứa với anh sẽ không rời xa. Mà sao giờ đây anh khóc. Trong đêm tối tăm mịt mù. Bao giấc mơ phiêu du lả lơi. Không có em nơi đây. Xin giấc mơ yêu đương dài thêm. Giờ anh ngồi đây. Trong bao nhung nhớ. Vẫn mãi đợi chờ. Lời hẹn ước khi xưa. Người trao cho anh. Nay vỡ tan rồi người ơi. Bao yêu thương giờ như. Cơn gió ấm áp ùa về. Giữa cơn mưa mùa đông. Bơ vơ anh khóc mãi thôi. Mùa Đông hỡi. Xin em quay về. Bên cạnh anh đi người ơi. Anh sẽ đợi, đợi mãi. Mùa Đông nhắc. Tên em lần cuối. Lỡ mai này sẽ quên. Mùa Đông xoá tan đi ngày nắng. êm đềm ngày ta có nhau. Và nếu biết. Ta sẽ xa rời nhau. Thì bây giờ. Anh ôm lấy em thật lâu. Nói với em giấc mơ của anh. Tình yêu giờ đây. Chỉ có một mình anh. Xa mãi xa mãi. Bao lời yêu thiết tha ấy. Xa mãi xa mãi. Bao phút giây. Yêu đương đầu tiên. Giờ anh ngồi đây. Trong bao nhung nhớ. Vẫn mãi đợi chờ. Lời hẹn ước khi xưa. Người trao cho anh. Nay vỡ tan rồi người ơi. Bao yêu thương giờ như. Cơn gió ấm áp ùa về. Giữa cơn mưa mùa đông. Bơ vơ anh khóc mãi thôi. Mùa Đông hỡi. Xin em quay về. Bên cạnh anh đi người ơi. Anh sẽ đợi, đợi mãi. Mùa Đông hỡi. Mùa Đông hỡi. Mùa đông đến nơi đây tìm anh. Mùa đông nhắc tên em lần cuối. Mùa đông xoá tan đi ngày nắng. Và gió đến đây. Hát bài tình ca. Tình yêu của anh. Như ánh trăng ngoài kia. Rọi xuống thế gian. Thấy em cười nói. Mà đôi bàn tay. Không thể chạm vào em"
Mùa Đông Không Lạnh,Akira Phan,Không Lạnh. Ca sĩ: Akira Phan. Anh gặp em. Giữa trời đông buốt giá. Mắt ta nhìn. Tựa đã quen từ lâu. Em cười tươi. Như mặt trời cuối đông. Nụ cười đó. Làm sao anh quên. Ta cách xa. Muôn trùng mây. Từng dòng thư. Gởi kèm nỗi nhớ thương. Anh nhớ em. đêm từng đêm. Lòng thầm mong. Thấy em trong phút giây. Ngày gặp em. Đi bên em. Không nói được câu gì. Ngồi kề em. Sao mùa đông thấy. Không giá lạnh. Ngày gặp em. Sương đêm rơi. Gió rét từng cơn lạnh lùng. Sao lòng anh. Thấy ấm nồng. Cuộc tình đầu tiên. Giờ chia ly. Em quay đi. Che giấu bờ mi lệ rơi. Ta xa nhau. Mong đến một ngày gặp lại. Giờ chia ly. Anh xa em nhưng sẽ. Nhớ em người ơi. Trái tim anh. Trái tim em không rời xa. Anh gặp em. Giữa trời đông buốt giá. Mắt ta nhìn. Tựa đã quen từ lâu. Em cười tươi. Như mặt trời cuối đông. Nụ cười đó. Làm sao anh quên. Ta cách xa. Muôn trùng mây. Từng dòng thư. Gởi kèm nỗi nhớ thương. Anh nhớ em. đêm từng đêm. Lòng thầm mong. Thấy em trong phút giây. Ngày gặp em. Đi bên em. Không nói được câu gì. Ngồi kề em. Sao mùa đông thấy. Không giá lạnh. Ngày gặp em. Sương đêm rơi. Gió rét từng cơn lạnh lùng. Sao lòng anh. Thấy ấm nồng. Cuộc tình đầu tiên. Giờ chia ly. Em quay đi. Che giấu bờ mi lệ rơi. Ta xa nhau. Mong đến một ngày gặp lại. Giờ chia ly. Anh xa em nhưng sẽ. Nhớ em người ơi. Trái tim anh. Trái tim em không rời xa. Trái tim anh. Trái tim em. Không rời xa
Cơn Mưa Mùa Đông,Quang Hà,Một ngày mùa đông vòng tay người yêu ấm áp. Biển trời lạnh câm mà sao lòng anh thấy nhẹ nhàng. Dòng người bước nhanh rót chút nắng vàng mong manh. Dịu dàng mái tóc thơm mát em khẽ tìm môi anh. Rồi trời chợt mưa hạt mưa càng thêm buốt giá. Vội vàng dừng chân bàn tay của em khẽ nhẹ run. Người đừng khóc nhé có trái tim này chở che. Dù ngoài kia bên hiên mưa rơi đã nhiều thêm..... Dù trời mưa nhiều hơn nữa có mang cả những nỗi buồn. Thì vòng tay anh luôn mong ôm em cho em niềm vui. Dù bàn tay anh nhỏ nhoi không xua được hết mưa trời. Một lòng anh xin nguyện ôm những đau buồn của em. Dù trời kia hoài mưa mãi kéo theo ngàn cơn gió lạnh. Đặt bàn tay em trong đôi tay anh sẽ không hiu quạnh. Mình là của riêng đời nhau. Ông trời muốn xem anh thế nào. Và trời mang mưa mùa đông. để thấy anh yêu em không.... Một ngày mùa đông vòng tay người yêu ấm áp. Biển trời lạnh câm mà sao lòng anh thấy nhẹ nhàng. Dòng người bước nhanh rót chút nắng vàng mong manh. Dịu dàng mái tóc thơm mát em khẽ tìm môi anh. Rồi trời chợt mưa hạt mưa càng thêm buốt giá. Vội vàng dừng chân bàn tay của em khẽ nhẹ run. Người đừng khóc nhé có trái tim này chở che. Dù ngoài kia bên hiên mưa rơi đã nhiều thêm..... ĐK:. Dù trời mưa nhiều hơn nữa có mang cả những nỗi buồn. Thì vòng tay anh luôn mong ôm em cho em niềm vui. Dù bàn tay anh nhỏ nhoi không xua được hết mưa trời. Một lòng anh xin nguyện ôm cả đau buồn của em. Dù ngoài kia trời mưa mãi kéo theo ngàn cơn gió lạnh. Đặt bàn tay em trong đôi tay anh sẽ không hiu quạnh. Mình là của riêng đời nhau. Ông trời muốn xem anh thế nào. Và trời mang mưa mùa đông. để thấy anh yêu em không.... Dù trời mưa nhiều hơn nữa có mang cả những nỗi buồn. Thì vòng tay anh luôn mong ôm em cho em niềm vui. Dù bàn tay anh nhỏ nhoi không xua được hết mưa trời. Một lòng anh xin nguyện ôm cả đau buồn của em. Dù ngoài kia trời mưa mãi kéo theo ngàn cơn gió lạnh. Đặt bàn tay em trong đôi tay anh sẽ không hiu quạnh. Mình là của riêng đời nhau. Ông trời muốn xem anh thế nào. Và trời mang mưa mùa đông. để thấy anh yêu em không.... Mình là của riêng đời nhau. Ông trời muốn xem anh thế nào. Và trời mang mưa mùa đông. để thấy. anh yêu em ...
Mùa Đông Tình Yêu,"Bùi Anh Tuấn, Hương Tràm",Ngày dài hơn để anh biết nhớ. Một cơn mưa vội vàng đến nhanh. Từng khao khát tình yêu. Từ sâu tận nơi tim anh. Mùa đông sắp đến mang theo. Từng cơn gió. Đôi tay ai đang cô đơn. Cho anh đến bên em. Anh sưởi ấm trái tim em. Đợi chờ thôi. Em đã chẳng thể dám nghĩ. Về điều đó ngày sẽ bên anh. Một tình yêu vì bao ngày qua. Chỉ riêng mỗi em. Chiều nay mưa vẫn về. Để em nhớ anh. Một bài hát rất buồn. Để em khóc trong tim. Ngàn câu ước cho mưa mang theo. Tình yêu của anh đến đây. Giờ anh rất muốn nói. Lời yêu em mãi mãi. Nguyện ước đôi ta luôn gần nhau. Dành cho em những yêu thương. Anh đã gom lại. Từ những mong chờ và nỗi nhớ em. Ngày mai cũng sẽ đến. Ngày tình yêu đôi ta. Em biết con tim yêu thật nhiều. Dành cho anh những yêu thương. Ngày điều ước đong đầy. Nhắm mắt lại nguyện ước đôi ta. Đợi chờ thôi. Em đã chẳng thể dám nghĩ. Về điều đó ngày sẽ bên anh. Một tình yêu vì bao ngày qua. Chỉ riêng mỗi em. Chiều nay mưa vẫn về. Để em nhớ anh. Một bài hát rất buồn. Để em khóc trong tim. Ngàn câu ước cho mưa mang theo. Tình yêu của anh đến đây. Giờ anh rất muốn nói. Lời yêu em mãi mãi. Nguyện ước đôi ta luôn gần nhau. Dành cho em những yêu thương. Anh đã gom lại. Từ những mong chờ và nỗi nhớ em. Ngày mai cũng sẽ đến. Ngày tình yêu đôi ta. Em biết con tim yêu thật nhiều. Dành cho anh những yêu thương. Ngày điều ước đong đầy. Nhắm mắt lại nguyện ước đôi ta. Ngày mai nếu trái tim. Mờ phai khi những bão giông. Cuốn đôi tình mình. Thì xin hãy bên cạnh em. Thì xin em nắm chặt bàn tay. Để anh vượt qua nơi đó. Vượt qua nơi đó. Giờ anh rất muốn nói. Lời yêu em mãi mãi. Nguyện ước đôi ta luôn gần nhau. Dành cho em những yêu thương. Anh đã gom lại. Từ những mong chờ và nỗi nhớ em. Ngày mai cũng sẽ đến. Ngày tình yêu đôi ta. Anh biết con tim yêu thật nhiều. Dành cho em bao yêu thương. Ngày điều ước đong đầy. Nhắm mắt lại nguyện ước đôi ta. Nhắm mắt lại nguyện ước đôi ta
Người Tình Mùa Đông,Hà Vân,Bài Hát: Người Tình Mùa Đông. Ca Sĩ: Hà Vân. Đường vào tim em ôi băng giá. Trời mùa đông. Mây vẫn bay đi về. Vẫn mưa. Mưa rơi trên đường thầm thì. Vì đâu mưa anh không đến. Đường vào tim em mây giăng kín. Bàn chân anh. Trên lối đi không thành. Những đêm. Khuya mưa buồn một mình. Có khi cho ta quên cuộc tình. Từng cơn mưa hắt hiu. Bên ngoài song thưa. Lắm khi mưa làm hồn ta. Nhớ mãi ngày qua. Nhớ con phố xưa. Vẫn âm thầm đợi chờ. Nhớ đôi vai ngoan. Em sợ trời mưa gió. Từng ngày ta. Vẫn đưa em về qua phố. Vẫn trên cao trời mưa lũ. Vẫn tiếng buồn xưa. Ôi bàn tay. Ai đã dắt em chiều nay. Đường vào tim em bao cơn sóng. Đẩy tình anh. Xa bến xuân hoa mộng. Trái tim em muôn đời lạnh lùng. Hỡi ơi trái tim mùa đông. Đường vào tim em ôi băng giá. Trời mùa đông. Mây vẫn bay đi về. Vẫn mưa. Mưa rơi trên đường thầm thì. Vì đâu mưa anh không đến. Đường vào tim em mây giăng kín. Bàn chân anh. Trên lối đi không thành. Những đêm. Khuya mưa buồn một mình. Có khi cho ta quên cuộc tình. Từng cơn mưa hắt hiu. Bên ngoài song thưa. Lắm khi mưa làm hồn ta. Nhớ mãi ngày qua. Nhớ con phố xưa. Vẫn âm thầm đợi chờ. Nhớ đôi vai ngoan. Em sợ trời mưa gió. Từng ngày ta. Vẫn đưa em về qua phố. Vẫn trên cao trời mưa lũ. Vẫn tiếng buồn xưa. Ôi bàn tay. Ai đã dắt em chiều nay. Đường vào tim em bao cơn sóng. Đẩy tình anh. Xa bến xuân hoa mộng. Trái tim em muôn đời lạnh lùng. Hỡi ơi trái tim mùa đông. Trái tim em muôn đời lạnh lùng. Hỡi ơi trái tim mùa đông. Trái tim em muôn đời lạnh lùng. Hỡi ơi trái tim mùa đông
Cô Bé Mùa Đông,"Trung Quân Idol, Thùy Chi"," Quân Idol ft. Thùy Chi. Từng cơn gió. Khẽ vô tình. Chiếc lá lìa cành. Buông xuống lòng đường. Ngồi nhặt chiếc lá. Tôi nhớ về. Cô bé đáng yêu của tôi. Mùa đông đến. Em vẫn cười. Em ước mình là. Bông tuyết ngoài trời. Để được bay mãi. Lên thiên đường. Một thiên đường tuyết rơi. Tuyết chẳng có đâu em ơi. Chỉ có tôi bên cạnh em thôi. Mùa đông đến. Gió khiến em se lạnh. Đừng lo vì còn tôi đây. Bước cùng với nhau. Dưới cơn mưa phùn rất lâu. Tôi nhìn em, em đỏ mặt. Em không nói. Khiến cho lòng tôi bồi hồi. Trong ngần mắt em. Thấy long lanh. Muôn ngàn tuyết rơi. Một mùa đông em đứng đó. Một mùa đông êm đềm. Từng cơn gió. Khẽ vô tình. Chiếc lá lìa cành. Buông xuống lòng đường. Ngồi nhặt chiếc lá. Tôi nhớ về. Cô bé đáng yêu của tôi. Mùa đông đến. Em vẫn cười. Em ước mình là. Bông tuyết ngoài trời. Để được bay mãi. Lên thiên đường. Một thiên đường tuyết rơi. Tuyết chẳng có đâu em ơi. Chỉ có tôi bên cạnh em thôi. Mùa đông đến. Gió khiến em se lạnh. Đừng lo vì còn tôi đây. Bước cùng với nhau. Dưới cơn mưa phùn rất lâu. Tôi nhìn em, em đỏ mặt. Em không nói. Khiến cho lòng tôi bồi hồi. Trong ngần mắt em. Thấy long lanh. Muôn ngàn tuyết rơi. Một mùa đông em đứng đó. Một mùa đông êm đềm. Bước cùng với nhau. Dưới cơn mưa phùn rất lâu. Tôi nhìn em, em đỏ mặt. Em không nói. Khiến cho lòng tôi hát. Trong ngần mắt em. Thấy long lanh. Muôn ngàn tuyết rơi. Một mùa đông em đứng đó. Một mùa đông êm đềm. Một mùa đông em đứng đó. Một mùa đông"
Mùa Đông Không Tên,Trần Hoàng Anh,Đêm nay anh mơ thấy em. Quay về nơi chúng ta gặp nhau. Giật mình mới biết. Hóa ra chỉ là giấc mơ thoáng qua. Nước mắt không rơi. Mà sao trong tim anh thấy nhói đau. Vì bên anh đã không còn em. Trong anh bao năm tháng qua. Chưa từng thôi nhớ em người ơi. Vì tình yêu ấy. Với anh là tất cả cuộc đời. Hai ta cách xa. Vì anh mang đến cho em nhiều đắng cay. Là tại anh đã mang lỗi lầm. Lời xin lỗi muộn màng gửi đến em. Dẫu biết rằng tình yêu không thể hàn gắn. Vẫn hi vọng một ngày. Em sẽ quay về bên anh. Cầu mong em hãy cho anh một lần. Được bên em để sửa sai lỗi lầm. Vì không có em bên cuộc đời. Anh chìm trong bóng tối mà thôi. Dù anh cố gắng che đi nỗi buồn. Mà nụ cười mỗi khi anh tới gần. Thì những lúc cô đơn một mình. Anh không thể ngăn hai dòng nước mắt. Mùa đông đã đến mang theo giá lạnh. Còn đây hơi ấm đôi môi ngọt ngào. Tình yêu vẫn cháy trong anh từng ngày. Vẫn mong chờ vẫn hi vọng. Một ngày em sẽ quay về. Trong anh bao năm tháng qua. Chưa từng thôi nhớ em người ơi. Vì tình yêu ấy. Với anh là tất cả cuộc đời. Hai ta cách xa. Vì anh mang đến cho em nhiều đắng cay. Là tại anh đã mang lỗi lầm. Lời xin lỗi muộn màng gửi đến em. Dẫu biết rằng tình yêu không thể hàn gắn. Vẫn hi vọng một ngày. Em sẽ quay về bên anh. Cầu mong em hãy cho anh một lần. Được bên em để sửa sai lỗi lầm. Vì không có em bên cuộc đời. Anh chìm trong bóng tối mà thôi. Dù anh cố gắng che đi nỗi buồn. Mà nụ cười mỗi khi anh tới gần. Thì những lúc cô đơn một mình. Anh không thể ngăn hai dòng nước mắt. Mùa đông đã đến mang theo giá lạnh. Còn đây hơi ấm đôi môi ngọt ngào. Tình yêu vẫn cháy trong anh từng ngày. Vẫn mong chờ vẫn hi vọng. Một ngày em sẽ quay về. Cầu mong em hãy cho anh một lần. Được bên em để sửa sai lỗi lầm. Vì không có em bên cuộc đời. Anh chìm trong bóng tối mà thôi. Dù anh cố gắng che đi nỗi buồn. Mà nụ cười mỗi khi anh tới gần. Thì những lúc cô đơn một mình. Anh không thể ngăn hai dòng nước mắt. Mùa đông đã đến mang theo giá lạnh. Còn đây hơi ấm đôi môi ngọt ngào. Tình yêu vẫn cháy trong anh từng ngày. Vẫn mong chờ vẫn hi vọng. Một ngày em sẽ quay về. Vẫn mong chờ vẫn hi vọng một ngày. Em sẽ quay về
Anh Nhớ Mùa Đông Ấy,The Men,ớ Mùa Đông Ấy. Ca sĩ: The Men. Anh nhớ mùa đông ấy. Khi đôi mình vẫn yêu. Khi đôi mình vẫn chưa. Chia ly hai đứa hai đường. Cứ muốn gặp nhau mãi. Cứ muốn ngồi sát bên. Nghe hơi thở ấm trong đêm. Đông sang trời vẫn thế. Vẫn rét buốt sương khuya. Nhưng nay chỉ anh thôi. Một mình ngồi nhớ em vô vàn. Chẳng biết em có hiểu. Chẳng biết em có hay. Lúc này anh cần em. Cần một vòng tay ấm. Người ơi trong đêm giá lạnh. Lòng anh thêm bao hiu quạnh. Còn bao yêu thương sao em đành. Để bơ vơ riêng anh. Người biết anh cô đơn mà. Từ khi em bước đi vội vã. Anh nhớ. Giờ em nơi xa xôi rồi. Chẳng nhớ ai kia vẫn đợi. Chẳng biết anh luôn trông mong. Đôi mình bên nhau mỗi tối. Lạnh căm cơn gió kéo về. Và mang theo những kí ức về em. Anh mong qua nhanh. Những mùa đông. Đông sang trời vẫn thế. Vẫn rét buốt sương khuya. Nhưng nay chỉ anh thôi. Một mình ngồi nhớ em vô vàn. Chẳng biết em có hiểu. Chẳng biết em có hay. Lúc này anh cần em. Cần một vòng tay ấm. Người ơi trong đêm giá lạnh. Lòng anh thêm bao hiu quạnh. Còn bao yêu thương sao em đành. Để bơ vơ riêng anh. Người biết anh cô đơn mà. Từ khi em bước đi vội vã. Anh nhớ. Giờ em nơi xa xôi rồi. Chẳng nhớ ai kia vẫn đợi. Chẳng biết anh luôn trông mong. Đôi mình bên nhau mỗi tối. Lạnh căm cơn gió kéo về. Và mang theo những kí ức về em. Anh mong qua nhanh. Những mùa đông. Người ơi trong đêm giá lạnh. Lòng anh thêm bao hiu quạnh. Còn bao yêu thương sao em đành. Để bơ vơ riêng anh. Người biết anh cô đơn mà. Từ khi em bước đi vội vã. Anh nhớ. Giờ em nơi xa xôi rồi. Chẳng nhớ ai kia vẫn đợi. Chẳng biết anh luôn trông mong. Đôi mình bên nhau mỗi tối. Lạnh căm cơn gió kéo về. Và mang theo những kí ức về em. Anh mong qua nhanh. Những mùa đông
Mưa Mùa Đông,Vân Quang Long,Bài Hát: Mưa Mùa Đông. Ca Sĩ: Vân Quang Long. Một mình ngồi thương nhớ. Tìm hình bóng em người hỡi. Mà người đành về cuối phương trời. Mình anh đi về đâu. Em đã quên tình xưa. Từng đêm vắng. Gió mưa anh mong chờ. Tiếng mưa rơi nghe buồn tênh. Nơi cuối đường. Ngỡ như người về nơi này. Vẫn mãi đợi chờ. Mùa thu bên hiên bao nhiều lá rơi. Người đành quên câu ái ân. Bước đi mịt mờ xa mãi. Vẫn mãi đợi chờ. Mùa đông con tim anh chưa giá băng. Ngàn lời yêu thương trao đến em. Phố xưa có anh chờ em về. Một mình ngồi thương nhớ. Tìm hình bóng em người hỡi. Mà người đành về cuối phương trời. Mình anh đi về đâu. Em đã quên tình xưa. Từng đêm vắng. Gió mưa anh mong chờ. Tiếng mưa rơi nghe buồn tênh. Nơi cuối đường. Ngỡ như người về nơi này. Vẫn mãi đợi chờ. Mùa thu bên hiên bao nhiều lá rơi. Người đành quên câu ái ân. Bước đi mịt mờ xa mãi. Vẫn mãi đợi chờ. Mùa đông con tim anh chưa giá băng. Ngàn lời yêu thương trao đến em. Phố xưa có anh chờ em về. Mùa đông con tim anh chưa giá băng. Vẫn mãi đợi chờ. Mùa thu bên hiên bao nhiều lá rơi. Người đành quên câu ái ân. Bước đi mịt mờ xa mãi. Vẫn mãi đợi chờ. Mùa đông con tim anh chưa giá băng. Ngàn lời yêu thương trao đến em. Phố xưa có anh chờ em về
Mùa Đông Không Em,Đình Phong,"Gió đêm mùa đông lại về,anh thấy lòng mình se xác.... Nỗi nhớ vẫn chưa nguôi ngoai trong màn đêm. Những kỉ niệm đã xa,nhưng anh chẳng thể phôi pha. Anh phải tập quên bao nhiêu suy nghĩ về em. Chỉ cần ánh mắt dõi theo ở trên cuộc đời thế thôi. Anh chỉ cần đươc nhìn em vui,hạnh phúc bên người ấy em chọn. Mong em hãy mỉm cười em nhé,xem kỉ niệm chỉ là giấc mơ. Và anh sẽ chọn một mình bước đi,trên con đường dài.... Gió đêm mùa đông lại về,anh thấy lòng mình se xác.... Nỗi nhớ vẫn chưa nguôi ngoai trong màn đêm. Những kỉ niệm đã xa,nhưng anh chẳng thể phôi pha. Anh phải tập quên bao nhiêu suy nghĩ về em. Chỉ cần ánh mắt dõi theo ở trên cuộc đời thế thôi. Anh chỉ cần đươc nhìn em vui,hạnh phúc bên người ấy em chọn. Mong em hãy mỉm cười em nhé,xem kỉ niệm chỉ là giấc mơ. Và anh sẽ chọn một mình bước đi,trên con đường dài.... Chỉ cần em thấy bình yên,anh không buồn đâu.. Vì trái tim anh vẫn còn yêu. Và dù em chẳng bận tâm!. Em không hiểu đâu.Thì anh vẫn mong................ Em vẫn sẽ mỉm cười em nhé!. Hãy xem kỉ niệm chỉ là giấc mơ. Và anh sẽ chọn một mình bước đi trên con đường dài"
